Title,Opening Date,Closing Date,Days Played,Company,Series,Category,Year,Season,Notes,Lost,Country,Genre
America,1925-05-18,1925-05-23,6,Hillsboro Theatre,,Silent Film,1925,,,FALSE,,
The Thief of Bagdad,1925-05-24,1925-05-31,8,Hillsboro Theatre,,Silent Film,1925,,,FALSE,,
Dorothy Vernon of Haddon Hall,1925-06-01,1925-06-07,7,Hillsboro Theatre,,Silent Film,1925,,,FALSE,,
Broken Laws,1925-06-08,1925-06-14,7,Hillsboro Theatre,,Silent Film,1925,,,FALSE,,
Judgement of the Storm,1925-06-15,1925-06-17,3,Hillsboro Theatre,,Silent Film,1925,,,FALSE,,
That French Lady,1925-06-18,1925-06-19,2,Hillsboro Theatre,,Silent Film,1925,,,FALSE,,
Isn't Life Wonderful,1925-06-21,1925-06-27,7,Hillsboro Theatre,,Silent Film,1925,,,FALSE,,
The Cracker Jack,1925-06-28,1925-07-04,7,Hillsboro Theatre,,Silent Film,1925,,,FALSE,,
Miami,1925-07-06,1925-07-09,4,Hillsboro Theatre,,Silent Film,1925,,,TRUE,,
The Sawdust Trail,1925-07-10,1925-07-11,2,Hillsboro Theatre,,Silent Film,1925,,,TRUE,,
Loves Whirlpool,1925-07-13,1925-07-15,3,Hillsboro Theatre,,Silent Film,1925,,,FALSE,,
The Hoosier Schoolmaster,1925-07-16,1925-07-18,3,Hillsboro Theatre,,Silent Film,1925,,,FALSE,,
Hold Your Breath,1925-07-20,1925-07-22,3,Hillsboro Theatre,,Silent Film,1925,,,FALSE,,
Richard the Lionhearted ,1925-07-23,1925-07-25,3,Hillsboro Theatre,,Silent Film,1925,,,FALSE,,
Fools in the Dark,1925-07-27,1925-07-30,4,Hillsboro Theatre,,Silent Film,1925,,,FALSE,,
The Brass Bowl,1925-07-31,1925-08-01,2,Hillsboro Theatre,,Silent Film,1925,,,TRUE,,
A Woman Who Sinned,1925-08-03,1925-08-05,3,Hillsboro Theatre,,Silent Film,1925,,,TRUE,,
Waking Up the Town,1925-08-06,1925-08-08,3,Hillsboro Theatre,,Silent Film,1925,,,FALSE,,
A Girl of Limberlost,1925-08-10,1925-08-13,4,Hillsboro Theatre,,Silent Film,1925,,,TRUE,,
Dr. Jack,1925-08-14,1925-08-15,2,Hillsboro Theatre,,Silent Film,1925,,,FALSE,,
The White Shadows,1925-08-17,1925-08-20,4,Hillsboro Theatre,,Silent Film,1925,,,FALSE,,
Honor Among Men,1925-08-21,1925-08-22,2,Hillsboro Theatre,,Silent Film,1925,,,FALSE,,
The Dangerous Flirt,1925-08-24,1925-08-25,2,Hillsboro Theatre,,Silent Film,1925,,,TRUE,,
Lillies of the Street,1925-08-26,1925-08-27,2,Hillsboro Theatre,,Silent Film,1925,,,FALSE,,
The Spirit of the USA,1925-08-28,1925-08-29,2,Hillsboro Theatre,,Silent Film,1925,,,TRUE,,
"Strongheart in ""White Fang""",1925-08-31,1925-09-02,3,Hillsboro Theatre,,Silent Film,1925,,,TRUE,,
My Husband's Wives,1925-09-03,1925-09-05,3,Hillsboro Theatre,,Silent Film,1925,,,FALSE,,
Another Scandal,1925-09-07,1925-09-08,2,Hillsboro Theatre,,Silent Film,1925,,,TRUE,,
Her Own Free Will,1925-09-09,1925-09-10,2,Hillsboro Theatre,,Silent Film,1925,,,TRUE,,
On the Stroke of Three,1925-09-11,1925-09-12,2,Hillsboro Theatre,,Silent Film,1925,,,TRUE,,
Gambling Wives,1925-09-14,1925-09-15,2,Hillsboro Theatre,,Silent Film,1925,,,TRUE,,
Man and Wife,1925-09-16,1925-09-17,2,Hillsboro Theatre,,Silent Film,1925,,,FALSE,,
The Kiss Barrier,1925-09-18,1925-09-19,2,Hillsboro Theatre,,Silent Film,1925,,,TRUE,,
I am the Man,1925-09-21,1925-09-23,3,Hillsboro Theatre,,Silent Film,1925,,,TRUE,,
The Midnight Girl,1925-09-24,1925-09-26,3,Hillsboro Theatre,,Silent Film,1925,,,FALSE,,
Barbara Frietchie,1925-09-28,1925-09-30,3,Hillsboro Theatre,,Silent Film,1925,,,TRUE,,
The Thief of Bagdad,1925-10-01,1925-10-03,3,Hillsboro Theatre,,Silent Film,1925,,,FALSE,,
Headlines,1925-10-05,1925-10-07,3,Hillsboro Theatre,,Silent Film,1925,,,FALSE,,
Keep Smiling,1925-10-08,1925-10-10,3,Hillsboro Theatre,,Silent Film,1925,,,FALSE,,
The Coming of Amos,1925-10-12,1925-10-17,6,Hillsboro Theatre,,Silent Film,1925,,,FALSE,,
Seven Days,1925-10-19,1925-10-24,6,Hillsboro Theatre,,Silent Film,1925,,,FALSE,,
Drusilla with a Million,1925-10-26,1925-10-31,6,Hillsboro Theatre,,Silent Film,1925,,,FALSE,,
Hell's Highroad,1925-11-02,1925-11-07,6,Hillsboro Theatre,,Silent Film,1925,,,FALSE,,
The Keeper of the Bees,1925-11-09,1925-11-14,6,Hillsboro Theatre,,Silent Film,1925,,,TRUE,,
His Buddy's Wife,1925-11-16,1925-11-18,3,Hillsboro Theatre,,Silent Film,1925,,,TRUE,,
The Mask of Zorro,1925-11-20,1925-11-21,2,Hillsboro Theatre,,Silent Film,1925,,,FALSE,,
Madame Behave,1925-11-23,1925-11-28,6,Hillsboro Theatre,,Silent Film,1925,,,FALSE,,
Midnight Molly,1925-11-30,1925-12-01,2,Hillsboro Theatre,,Silent Film,1925,,,FALSE,,
Charley's Aunt,1925-12-02,1925-12-05,4,Hillsboro Theatre,,Silent Film,1925,,,FALSE,,
The Wedding Song,1925-12-07,1925-12-11,5,Hillsboro Theatre,,Silent Film,1925,,,FALSE,,
The Mollycoddle,1925-12-12,1925-12-12,1,Hillsboro Theatre,,Silent Film,1925,,,FALSE,,
Scandal Proof,1925-12-14,1925-12-15,2,Hillsboro Theatre,,Silent Film,1925,,,TRUE,,
The Freshman,1925-12-16,1925-12-19,4,Hillsboro Theatre,,Silent Film,1925,,,FALSE,,
SIlk Stalking Sal,1925-12-21,1925-12-23,3,Hillsboro Theatre,,Silent Film,1925,,,TRUE,,
Robin Hood,1925-12-24,1925-12-26,3,Hillsboro Theatre,,Silent Film,1925,,,FALSE,,
Why Worry?,1925-12-28,1925-12-29,2,Hillsboro Theatre,,Silent Film,1925,,,FALSE,,
Orphans of the Storm,1925-12-30,1925-12-31,2,Hillsboro Theatre,,Silent Film,1925,,,FALSE,,
Wild Justice,1926-01-01,1926-01-02,2,Hillsboro Theatre,,Silent Film,1926,,,TRUE,,
Three Faces East,1926-01-04,1926-01-07,4,Hillsboro Theatre,,Silent Film,1926,,,FALSE,,
Friendly Enemies,1926-01-08,1926-01-09,2,Hillsboro Theatre,,Silent Film,1926,,,TRUE,,
Braveheart,1926-01-11,1926-01-13,3,Hillsboro Theatre,,Silent Film,1926,,,FALSE,,
Steel Preferred,1926-01-14,1926-01-16,3,Hillsboro Theatre,,Silent Film,1926,,,TRUE,,
The Road to Yesterday,1926-01-18,1926-01-23,6,Hillsboro Theatre,,Silent Film,1926,,,FALSE,,
Rocking Moon,1926-01-25,1926-01-27,3,Hillsboro Theatre,,Silent Film,1926,,,TRUE,,
People Versus Nancy Preston,1926-01-28,1926-01-30,3,Hillsboro Theatre,,Silent Film,1926,,,FALSE,,
Made for Love,1926-02-01,1926-02-04,4,Hillsboro Theatre,,Silent Film,1926,,,FALSE,,
A Reckless Romance,1926-02-05,1926-02-06,2,Hillsboro Theatre,,Silent Film,1926,,,FALSE,,
Capital City All-Star Ministrels,1926-02-08,1926-02-09,2,Hillsboro Theatre,,Silent Film,1926,,,FALSE,,
Welcome Stranger,1926-02-10,1926-02-11,2,Hillsboro Theatre,,Silent Film,1926,,,TRUE,,
Beauty and the Bad Man,1926-02-12,1926-02-13,2,Hillsboro Theatre,,Silent Film,1926,,,TRUE,,
Her Own Free Will,1926-02-15,1926-02-17,3,Hillsboro Theatre,,Silent Film,1926,,,TRUE,,
The Midnight Flyer,1926-02-18,1926-02-20,3,Hillsboro Theatre,,Silent Film,1926,,,FALSE,,
Off the Highway,1926-02-22,1926-02-23,2,Hillsboro Theatre,,Silent Film,1926,,,FALSE,,
A Broadway Lady,1926-02-24,1926-02-25,2,Hillsboro Theatre,,Silent Film,1926,,,FALSE,,
Peabody Dramatic Club Rental,1926-02-26,1926-02-26,1,Hillsboro Theatre,,Silent Film,1926,,,FALSE,,
Safety Last,1926-02-27,1926-02-27,1,Hillsboro Theatre,,Silent Film,1926,,,FALSE,,
The Last Edition,1926-03-01,1926-03-06,6,Hillsboro Theatre,,Silent Film,1926,,,FALSE,,
Girl of Gold,1926-03-08,1926-03-09,2,Hillsboro Theatre,,Silent Film,1926,,,FALSE,,
Beau Brummel,1926-03-10,1926-03-11,2,Hillsboro Theatre,,Silent Film,1926,,,FALSE,,
The Siren of Seville,1926-03-12,1926-03-13,2,Hillsboro Theatre,,Silent Film,1926,,,FALSE,,
On the Threshold,1926-03-15,1926-03-16,2,Hillsboro Theatre,,Silent Film,1926,,,TRUE,,
Let Women Alone,1926-03-17,1926-03-18,2,Hillsboro Theatre,,Silent Film,1926,,,TRUE,,
Another Man's Wife,1926-03-19,1926-03-20,2,Hillsboro Theatre,,Silent Film,1926,,,TRUE,,
The Mirage,1926-03-22,1926-03-23,2,Hillsboro Theatre,,Silent Film,1926,,,TRUE,,
The Three Muskateers,1926-03-24,1926-03-27,4,Hillsboro Theatre,,Silent Film,1926,,,FALSE,,
If Marriage Fails,1926-03-29,1926-03-31,3,Hillsboro Theatre,,Silent Film,1926,,,TRUE,,
Queen o' Diamonds,1926-04-01,1926-04-02,2,Hillsboro Theatre,,Silent Film,1926,,,TRUE,,
Daddies,1926-04-03,1926-04-03,1,Hillsboro Theatre,,Silent Film,1926,,,FALSE,,
Stop Flirting,1926-04-05,1926-04-08,4,Hillsboro Theatre,,Silent Film,1926,,,FALSE,,
"St. Bernard Academy present ""The End of the Rainbow""",1926-04-09,1926-04-09,1,Hillsboro Theatre,,Play,1926,,,FALSE,,
Find your Man,1926-04-10,1926-04-10,1,Hillsboro Theatre,,Silent Film,1926,,,FALSE,,
When Love Grows Cold,1926-04-12,1926-04-14,3,Hillsboro Theatre,,Silent Film,1926,,,TRUE,,
The Crimson Runner,1926-04-15,1926-04-16,2,Hillsboro Theatre,,Silent Film,1926,,,FALSE,,
The Nut,1926-04-17,1926-04-17,1,Hillsboro Theatre,,Silent Film,1926,,,FALSE,,
The Crimson Runner,1926-04-19,1926-04-20,2,Hillsboro Theatre,,Silent Film,1926,,,FALSE,,
Trouping with Ellen,1926-04-21,1926-04-22,2,Hillsboro Theatre,,Silent Film,1926,,,TRUE,,
Girl Shy,1926-04-23,1926-04-24,2,Hillsboro Theatre,,Silent Film,1926,,,FALSE,,
Vaudeville Acts,1926-04-28,1926-04-29,2,Hillsboro Theatre,,Vaudeville,1926,,,FALSE,,
Lighthouse by the Sea,1926-05-01,1926-05-01,1,Hillsboro Theatre,,Silent Film,1926,,,FALSE,,
