Year,Title,IMDb Title,IMDb Year,Director,Cast,Country,Certification,Genre,Runtime,Poster URL,Plot Outline,IMDb URL
2000.0,Albert Schweitzer Tribute,Albert Schweitzer,1957,Jerome Hill,"Burgess Meredith, Fredric March, Albert Schweitzer, Helene Schweitzer","France, United States","Germany:6, New Zealand:G, United Kingdom:U, United States:Approved, United States:Passed::(National Board of Review), West Germany:6","Documentary, Biography, History",85,"https://m.media-amazon.com/images/M/MV5BZjc5OTk2MWItMzA3NS00YTI0LTk2ZDMtYmZhZmI2NTM3NGJiXkEyXkFqcGc@._V1_SX101_CR0,0,101,150_.jpg","This biographical drama/documentary narrative written by Dr. Albert Schweitzer and spoken by Fredric March, traces the life of Dr. Schweitzer (with actors playing the characters), from his birth in France up to about the age of 30 when he makes the decision to go to French Equatorial Africa and build his jungle hospital. The latter half of the film encompasses a full day in the hospital-village following the 80s-plus Samaritan in his daily rounds.",https://www.imdb.com/title/tt0050109/
2000.0,Superbowl Fundraiser,,,,,,,,,,,
2000.0,How About Dinner and a Movie: Cries of Silence,,,,,,,,,,,
2000.0,Evolution D'Amour,X-Men: Evolution,2000,,"Kirby Morrow, Venus Terzo, Brad Swaile, David Kaye","United States, Japan, Canada","Brazil:Livre, Germany:12::(DVD rating), Hong Kong:I, Japan:G::(self-applied), United Kingdom:7+::(self-applied), United States:TV-Y7, United States:Not Rated::(DVD rating)","Animation, Action, Adventure, Drama, Fantasy, Romance, Sci-Fi, Thriller",23,"https://m.media-amazon.com/images/M/MV5BZmQyMDU4OTMtZmZiNy00OTY1LTliMjUtMTcyZTI0ODA3MGZlXkEyXkFqcGc@._V1_SX101_CR0,0,101,150_.jpg","Professor Charles Francis Xavier, who has the mutant ability to read minds, searches for new mutants to train them how to use their powers for good and to prevent the mutants from harming themselves and others at his School for Gifted Youngsters. His opposition, Magneto ""Master of Magnetism"", is doing the same thing, but for evil purposes. He has made Mystique who is a shape-shifter, a principle of his high school to gather evil mutants to prepare them for war against non-mutants. The most interesting plot of the story is that all the heroes and villains attend the same high school. The classic battle of good vs. evil has begun again.",https://www.imdb.com/title/tt0247827/
2000.0,Oscar Night America 2000,,,,,,,,,,,
2000.0,Frank Wilderhorn: The CIvil War Composer (Fundraiser),,,,,,,,,,,
2000.0,Everybody's Talkin' - Mosaic Youth Theatre of Detroit,,,,,,,,,,,
2000.0,27th Annual Achitecture Awards,The 27th Annual Academy Awards,1955,"Bill Bennington, Grey Lockwood","Bob Hope, Buddy Adler, Anna Maria Alberghetti, June Allyson",United States,,Family,,"https://m.media-amazon.com/images/M/MV5BMTU1MTY1Mjc3N15BMl5BanBnXkFtZTcwMzYyMzYzNA@@._V1_SY150_CR8,0,101,150_.jpg","Award of the American academy of cinematographic arts and sciences, from 1940 known as ""Oscar"", - American film award created in 1929 and traditionally handed to the figures of cinematographic art for their contribution to creation of movies.",https://www.imdb.com/title/tt0338682/
2000.0,Winter Sleeps,Winter Sleepers,1997,Tom Tykwer,"Ulrich Matthes, Marie-Lou Sellem, Heino Ferch, Floriane Daniel",Germany,"Finland:K-12, France:Tous publics, Germany:12::(bw), Netherlands:AL, Norway:15, Spain:13, United Kingdom:15","Drama, Romance, Thriller",122,"https://m.media-amazon.com/images/M/MV5BMjAzMTM3NTQ5OV5BMl5BanBnXkFtZTYwMjg1MTk5._V1_SY150_CR1,0,101,150_.jpg","Local farmer Theo is a man struggling to keep his family happy and fed. One day he heads out with a horse in a trailer hitched to the back of his car. Also in the trailer, hiding, is his young daughter who stowed away without permission. On a slippery road, things are about to change. A chain reaction has begun, a door has been opened, and the hand of fate has entered the game as an invisible player.",https://www.imdb.com/title/tt0120522/
2000.0,Croupier,Croupier,1998,Mike Hodges,"Clive Owen, Nick Reding, Nicholas Ball, Alexander Morton","United Kingdom, Ireland, France, Germany","Argentina:13, Australia:M, Canada:14A, Canada:G::(Québec), Finland:K-11, France:Tous publics, Germany:12::(w), Iceland:12, Ireland:15, Poland:15, Singapore:R(A), South Africa:13, Spain:13, United Kingdom:15, United States:Not Rated","Crime, Drama, Thriller",94,"https://m.media-amazon.com/images/M/MV5BNjMwZmExNjUtMmMyMC00YmVmLTg5MWEtNDg3OWE3MzQ0YTAyXkEyXkFqcGc@._V1_SY150_CR0,0,101,150_.jpg","Jack Manfred is an aspiring writer going nowhere fast. To make ends meet, and against his better judgement, he takes a job as a croupier. He finds himself drawn into the casino world and the job gradually takes over his life; his relationship with girlfriend Marion begins to deteriorate. One gambler in particular catches his attention: Jani, whom he starts to see outside of working hours - a serious violation of casino rules. Jani is down on her luck; under pressure from her creditors she approaches Jack, asking him to be the inside man for a planned heist at the casino. Jack carefully considers the odds; it all looks so simple, but even a professional like Jack can't predict the cards he will be dealt.",https://www.imdb.com/title/tt0159382/
2000.0,The Mupper Movie,The Muppet Movie,1979,James Frawley,"Jim Henson, Frank Oz, Jerry Nelson, Richard Hunt","United Kingdom, United States","Argentina:Atp, Australia:G, Brazil:Livre, Canada:G, Chile:TE, Colombia:T, Czechia:U, Finland:S, France:Tous publics, Greece:K, Hong Kong:I, Hungary:KN, Iceland:L, India:U, Italy:T, Japan:G, Lithuania:V, Malaysia:U, New Zealand:G, New Zealand:G, Nigeria:G, Norway:7::(cinema rating), Peru:Apt, Portugal:M/6, Saudi Arabia:G, Singapore:PG, South Korea:12, Sweden:Btl, United Kingdom:U, United States:G::(No. 25675), Vietnam:P, West Germany:6","Adventure, Comedy, Family, Musical",95,"https://m.media-amazon.com/images/M/MV5BMTE0ODE3N2ItYjRiOS00ZGU4LThjZTgtOGY5ZTFhMTNlZTNlXkEyXkFqcGc@._V1_SY150_CR0,0,101,150_.jpg","While living the quiet life in a swamp, Kermit the Frog is approached by a Hollywood agent to audition for the chance of a lifetime. So Kermit takes this chance for his big break as he makes the journey to Hollywood. Along the way, Kermit comes across several quirky new friends including comedic Fozzie Bear, beautiful but feisty Miss Piggy, and the Great Gonzo. But Kermit must also watch out for ruthless Doc Hopper, who plans to use him as his spokesman for his frog legs food chain.",https://www.imdb.com/title/tt0079588/
