Year,Title,IMDb Title,IMDb Year,Rating,Genre,Director,Release Date,Country,IMDb URL,Poster URL
1925,America,,,,,,,,,
1925,The Thief of Bagdad,The Thief of Bagdad,1924,7.7,"Adventure, Family, Fantasy, Romance",Raoul Walsh,11 Apr 1924 (Brazil),United States,https://www.imdb.com/title/tt0015400/,"https://m.media-amazon.com/images/M/MV5BZDg5YzZlZDgtMjdkNy00ZWFkLWE2ZmQtY2U4MDU2MWE2NGM2XkEyXkFqcGc@._V1_SY150_CR2,0,101,150_.jpg"
1925,Dorothy Vernon of Haddon Hall,Dorothy Vernon of Haddon Hall,1924,6.9,"Drama, History, Romance","Marshall Neilan, Mary Pickford",25 May 1924 (USA),United States,https://www.imdb.com/title/tt0014854/,"https://m.media-amazon.com/images/M/MV5BMTkxMjQ1NDcyNV5BMl5BanBnXkFtZTgwNzA5MDgwMjE@._V1_SY150_CR0,0,101,150_.jpg"
1925,Broken Laws,Broken Laws,1924,,Drama,Roy William Neill,09 Nov 1924 (USA),United States,https://www.imdb.com/title/tt0014747/,"https://m.media-amazon.com/images/M/MV5BY2I5ZGZlNzMtMzY0NC00YmU0LThkMmEtYmJmZDc0OWExZmU2XkEyXkFqcGc@._V1_SY150_CR44,0,101,150_.jpg"
1925,Judgement of the Storm,Orphans of the Storm,1921,7.3,"Drama, History, Romance",D.W. Griffith,1922 (Poland),United States,https://www.imdb.com/title/tt0012532/,"https://m.media-amazon.com/images/M/MV5BMDM1ZmM5NWUtYmNlNy00ODcyLWFmNDQtMWI0Y2NmOGI4YzQ2XkEyXkFqcGc@._V1_SX101_CR0,0,101,150_.jpg"
1925,That French Lady,That French Lady,1924,,"Drama, Romance",Edmund Mortimer,17 Aug 1924 (USA),United States,https://www.imdb.com/title/tt0015397/,"https://m.media-amazon.com/images/M/MV5BZmQxMmFiOGItNTAxMS00MTU2LThjMDgtYWY0ZTk1ZTU0NzZhXkEyXkFqcGc@._V1_SY150_CR1,0,101,150_.jpg"
1925,Isn't Life Wonderful,Isn't Life Wonderful,1924,6.8,"Drama, Romance",D.W. Griffith,05 Dec 1924 (USA),United States,https://www.imdb.com/title/tt0015018/,"https://m.media-amazon.com/images/M/MV5BN2QxZGU4NjYtMDlmNi00NWZhLThhZTMtZTE5ZmE4NTYyZmNkXkEyXkFqcGc@._V1_SY150_CR1,0,101,150_.jpg"
1925,The Cracker Jack,The Crackerjack,1925,6.2,Comedy,Charles Hines,May 1925 (USA),United States,https://www.imdb.com/title/tt0015714/,"https://m.media-amazon.com/images/M/MV5BMjMzOTA5Mzc1OV5BMl5BanBnXkFtZTgwMzg4NjUzMTE@._V1_SY150_CR6,0,101,150_.jpg"
1925,Miami,,,,,,,,,
1925,The Sawdust Trail,The Sawdust Trail,1924,,"Comedy, Western",Edward Sedgwick,10 Aug 1924 (USA),United States,https://www.imdb.com/title/tt0015305/,"https://m.media-amazon.com/images/M/MV5BNDkyNTlhNjctMmE5MS00MzNlLTljZTQtNTgzNDgxZDk1MDFkXkEyXkFqcGc@._V1_SX101_CR0,0,101,150_.jpg"
1925,Loves Whirlpool,Love's Whirlpool,1924,,"Crime, Drama",Bruce Mitchell,02 Mar 1924 (USA),United States,https://www.imdb.com/title/tt0015089/,"https://m.media-amazon.com/images/M/MV5BZjE5NzcxNGUtMjhlNS00Zjc0LTg5MzgtN2Y3Yzg0NmQwOWM4XkEyXkFqcGc@._V1_SY150_CR4,0,101,150_.jpg"
1925,The Hoosier Schoolmaster,The Hoosier Schoolmaster,1924,7.3,Drama,Oliver L. Sellers,14 Feb 1924 (USA),United States,https://www.imdb.com/title/tt0015001/,"https://m.media-amazon.com/images/M/MV5BNzMwM2NmNzktNDI4Ny00OGM4LTk4MTctYzNjNzdiNzFlOGNlXkEyXkFqcGc@._V1_SY150_CR3,0,101,150_.jpg"
1925,Hold Your Breath,Hold Your Breath,1924,7.0,Comedy,Scott Sidney,25 May 1924 (USA),United States,https://www.imdb.com/title/tt0014996/,"https://m.media-amazon.com/images/M/MV5BYTYwMzI0NWQtZThiMi00NGQ0LTk4MzgtN2FhYzlhNmVhY2IwXkEyXkFqcGc@._V1_SY150_CR6,0,101,150_.jpg"
1925,Richard the Lionhearted ,Richard the Lion-Hearted,1923,7.1,Drama,Chester Withey,15 Oct 1923 (USA),United States,https://www.imdb.com/title/tt0014408/,"https://m.media-amazon.com/images/M/MV5BYmU1NGEzMjYtODgxMy00NzdjLWIzZDgtODBmYTFlNWUyMDYyXkEyXkFqcGc@._V1_SX101_CR0,0,101,150_.jpg"
1925,Fools in the Dark,Fools in the Dark,1924,,"Comedy, Mystery, Romance, Thriller",Alfred Santell,04 Aug 1924 (USA),United States,https://www.imdb.com/title/tt0014920/,"https://m.media-amazon.com/images/M/MV5BMmM1MDczYWUtMTg3MS00MGQyLWEyNzYtNmQ1ODE2NjMyYjc0XkEyXkFqcGc@._V1_SY150_CR54,0,101,150_.jpg"
1925,The Brass Bowl,The Brass Bowl,1924,,Mystery,Jerome Storm,16 Nov 1924 (USA),United States,https://www.imdb.com/title/tt0014736/,"https://m.media-amazon.com/images/M/MV5BMjkxODhkNzMtNzFhNi00OWMyLThmMmUtZTQ5Y2NkYjcwMmE0XkEyXkFqcGc@._V1_SY150_CR47,0,101,150_.jpg"
1925,A Woman Who Sinned,A Woman Who Sinned,1924,,Drama,Finis Fox,07 Jul 1924 (USA),United States,https://www.imdb.com/title/tt0015506/,"https://m.media-amazon.com/images/M/MV5BZmE4NjJjOGQtYjFmYy00N2NmLTk0Y2MtMjA5YTU1NDY3NWZhXkEyXkFqcGc@._V1_SY150_CR45,0,101,150_.jpg"
1925,Waking Up the Town,Waking Up the Town,1925,6.2,Comedy,James Cruze,14 Apr 1925 (USA),United States,https://www.imdb.com/title/tt0016497/,"https://m.media-amazon.com/images/M/MV5BZjVhMjc0YWMtZDRjYy00NWMwLWJlMjItNjkwMWVlNGVhYmU0XkEyXkFqcGc@._V1_SY150_CR6,0,101,150_.jpg"
1925,A Girl of Limberlost,A Girl of the Limberlost,1924,,Drama,James Leo Meehan,28 Apr 1924 (USA),United States,https://www.imdb.com/title/tt0014947/,"https://m.media-amazon.com/images/M/MV5BYjMzZWIyZGYtZDc0Ny00MjZmLTgyY2UtNTIwMDA1ZmQzM2YyXkEyXkFqcGc@._V1_SY150_CR47,0,101,150_.jpg"
